business_name,business_city,business_state,business_postal_code,inspection_id,inspection_score,lowest_score,violation_description
17th & Noe Market,San Francisco,CA,94114,4474_20190912,96.0,62,Foods not protected from contamination.
18 Reasons,San Francisco,CA,94110,64717_20180228,92.0,58,Inadequately cleaned or sanitized food contact surfaces. Moderate risk vermin infestation.
18 Reasons,San Francisco,CA,94110,64717_20190813,98.0,78,Low risk vermin infestation.
18th Street Commissary,San Francisco,CA,94110,27350_20171017,83.0,5,Improper thawing methods. Moderate risk vermin infestation. Unclean or unsanitary food contact surfaces. Unclean or degraded floors walls or ceilings.
18th Street Commissary,San Francisco,CA,94110,27350_20180620,85.0,24,Unclean hands or improper use of gloves. Employee eating or smoking. Moderate risk vermin infestation.
18th Street Commissary,San Francisco,CA,94110,27350_20190627,75.0,32,Foods not protected from contamination. Unapproved  living quarters in food facility. Improper thawing methods. Moderate risk vermin infestation. Unclean or unsanitary food contact surfaces. Employee eating or smoking.
19th Ave Shell,San Francisco,CA,94122,62768_20180430,90.0,60,Food safety certificate or food handler card not available. Improper food storage. Inadequate and inaccessible handwashing facilities. Permit license or inspection report not posted.
19th Ave Shell,San Francisco,CA,94122,62768_20190906,94.0,67,Moderate risk food holding temperature. Wiping cloths not clean or properly stored or inadequate sanitizer.
"20 Spot Mission, LLC",San Francisco,CA,94110,70856_20170913,90.0,60,Insufficient hot water or running water. Noncompliance with HAACP plan or variance. Low risk vermin infestation.
"20 Spot Mission, LLC",San Francisco,CA,94110,70856_20180510,96.0,56,Improper thawing methods.
"20 Spot Mission, LLC",San Francisco,CA,94110,70856_20190509,88.0,52,Noncompliance with HAACP plan or variance. Inadequately cleaned or sanitized food contact surfaces. Foods not protected from contamination.
20th Century Cafe,San Francisco,CA,94102,73902_20171101,94.0,70,Improper food storage. Insufficient hot water or running water.
20th Century Cafe,San Francisco,CA,94102,73902_20190417,96.0,96,Improper food storage. Unapproved or unmaintained equipment or utensils.
21 Taste House,San Francisco,CA,94112,71286_20170414,96.0,80,Unapproved or unmaintained equipment or utensils. Improper food storage.
21 Taste House,San Francisco,CA,94112,71286_20180302,90.0,61,Wiping cloths not clean or properly stored or inadequate sanitizer. Improper thawing methods. Unclean or degraded floors walls or ceilings. Unapproved or unmaintained equipment or utensils.
21 Taste House,San Francisco,CA,94112,71286_20190410,79.0,45,Foods not protected from contamination. Unclean or degraded floors walls or ceilings. High risk vermin infestation. Wiping cloths not clean or properly stored or inadequate sanitizer. No thermometers or uncalibrated thermometers. Inadequate and inaccessible handwashing facilities.
21ST AMENDMENT BREWERY CAFE,San Francisco,CA,94107,3397_20170322,94.0,68,Unclean nonfood contact surfaces. Moderate risk food holding temperature.
21ST AMENDMENT BREWERY CAFE,San Francisco,CA,94107,3397_20181010,83.0,4,Foods not protected from contamination. Unclean or degraded floors walls or ceilings. Moderate risk vermin infestation. High risk food holding temperature.
2227 Irving Seafood Market Inc,San Francisco,CA,94122,83808_20170927,82.0,68,Unclean or degraded floors walls or ceilings. Improper food storage. Moderate risk vermin infestation. Inadequately cleaned or sanitized food contact surfaces. Inadequate and inaccessible handwashing facilities. Improper storage use or identification of toxic substances.
2227 Irving Seafood Market Inc,San Francisco,CA,94122,83808_20190502,77.0,45,Inadequate and inaccessible handwashing facilities. Wiping cloths not clean or properly stored or inadequate sanitizer. Improper food storage. High risk vermin infestation. Insufficient hot water or running water. Improper storage use or identification of toxic substances. Unclean or degraded floors walls or ceilings.
24TH STREET CHEESE COMPANY,San Francisco,CA,94114,7457_20170920,96.0,64,Inadequately cleaned or sanitized food contact surfaces.
24TH STREET CHEESE COMPANY,San Francisco,CA,94114,7457_20180418,96.0,51,Inadequately cleaned or sanitized food contact surfaces.
24TH STREET CHEESE COMPANY,San Francisco,CA,94114,7457_20190904,94.0,56,Noncompliance with HAACP plan or variance. Wiping cloths not clean or properly stored or inadequate sanitizer.
260 Golden Gate Family Residence,San Francisco,CA,94102,5185_20180425,98.0,76,Inadequate warewashing facilities or equipment.
260 Golden Gate Family Residence,San Francisco,CA,94102,5185_20180802,96.0,56,Inadequately cleaned or sanitized food contact surfaces.
360 Gourmet Burrito,San Francisco,CA,94104,60644_20161222,90.0,52,Moderate risk food holding temperature. Inadequate food safety knowledge or lack of certified food safety manager. Unapproved or unmaintained equipment or utensils.
360 Gourmet Burrito,San Francisco,CA,94104,60644_20171030,92.0,66,Improper thawing methods. Inadequate ventilation or lighting. Unclean or degraded floors walls or ceilings.
360 Gourmet Burrito,San Francisco,CA,94104,60644_20190417,90.0,70,Unclean or degraded floors walls or ceilings. Improper or defective plumbing. Wiping cloths not clean or properly stored or inadequate sanitizer. Moderate risk vermin infestation.
3RD BAPTIST FELLOWSHIP HALL,San Francisco,CA,94115,6018_20180711,96.0,58,Inadequately cleaned or sanitized food contact surfaces.
3rd Cousin,San Francisco,CA,94110,85495_20190709,87.0,12,Wiping cloths not clean or properly stored or inadequate sanitizer. Inadequate and inaccessible handwashing facilities. High risk food holding temperature.
3rd Floor Banquet Kitchen,San Francisco,CA,94103,60984_20171113,90.0,65,Inadequate and inaccessible handwashing facilities. Moderate risk food holding temperature. Unclean nonfood contact surfaces.
3rd Floor Banquet Kitchen,San Francisco,CA,94103,60984_20190227,86.0,17,Unclean hands or improper use of gloves. Unclean or unsanitary food contact surfaces.
4505 Burgers and BBQ,San Francisco,CA,94117,76962_20180405,83.0,31,Inadequate and inaccessible handwashing facilities. Moderate risk food holding temperature. Unclean or unsanitary food contact surfaces. Other low risk violation.
49 Square Catering,San Francisco,CA,94124,75407_20170522,89.0,39,Unclean or unsanitary food contact surfaces. Noncompliance with HAACP plan or variance.
49 Square Catering,San Francisco,CA,94124,75407_20190124,96.0,55,Moderate risk vermin infestation.
499 Taproot,San Francisco,CA,94158,88741_20170517,92.0,52,Inadequate and inaccessible handwashing facilities. Moderate risk food holding temperature.
5 Degree Tea House,San Francisco,CA,94134,70685_20170104,90.0,63,Foods not protected from contamination. Wiping cloths not clean or properly stored or inadequate sanitizer. Inadequate and inaccessible handwashing facilities.
5 Degree Tea House,San Francisco,CA,94134,70685_20171212,86.0,61,Unclean or degraded floors walls or ceilings. Inadequately cleaned or sanitized food contact surfaces. Moderate risk vermin infestation. Inadequate and inaccessible handwashing facilities.
5 Degree Tea House,San Francisco,CA,94134,70685_20190315,88.0,65,Moderate risk food holding temperature. Unapproved or unmaintained equipment or utensils. Unsanitary employee garments hair or nails. Inadequate food safety knowledge or lack of certified food safety manager.
505 Pinterest Dining Garage Level Kitchen and 2nd Floor Staging,San Francisco,CA,94105,93888_20180330,89.0,6,Moderate risk food holding temperature. Improper cooling methods.
505 Pinterest Retail,San Francisco,CA,94105,94119_20180330,96.0,56,Employee eating or smoking.
54 Mint Wine Bar,San Francisco,CA,94103,58637_20170420,93.0,9,Unclean or unsanitary food contact surfaces.
54 Mint Wine Bar,San Francisco,CA,94103,58637_20180328,96.0,80,Improper or defective plumbing. Unclean or degraded floors walls or ceilings.
54 Mint Wine Bar,San Francisco,CA,94103,58637_20190725,92.0,63,Inadequate and inaccessible handwashing facilities. Insufficient hot water or running water.
5A5 Steak Lounge,San Francisco,CA,94111,40185_20170222,94.0,90,Improper food storage. Other low risk violation. Unapproved or unmaintained equipment or utensils.
5A5 Steak Lounge,San Francisco,CA,94111,40185_20180622,94.0,58,Inadequate ventilation or lighting. Foods not protected from contamination.
5A5 Steak Lounge,San Francisco,CA,94111,40185_20190307,87.0,18,Inadequate ventilation or lighting. High risk food holding temperature. Foods not protected from contamination.
5A5 Steak Lounge,San Francisco,CA,94111,40185_20191003,81.0,7,High risk vermin infestation. Inadequately cleaned or sanitized food contact surfaces. Noncompliance with HAACP plan or variance. Foods not protected from contamination.
5th Avenue Deli & Market,San Francisco,CA,94111,84813_20161207,84.0,56,Inadequate and inaccessible handwashing facilities. Inadequate food safety knowledge or lack of certified food safety manager. Inadequately cleaned or sanitized food contact surfaces. Moderate risk food holding temperature.
5th Avenue Deli & Market,San Francisco,CA,94111,84813_20190612,90.0,59,Moderate risk food holding temperature. Insufficient hot water or running water. Unapproved or unmaintained equipment or utensils.
6001 California Market,San Francisco,CA,94121,38072_20170803,73.0,31,Moderate risk vermin infestation. Insufficient hot water or running water. Inadequate food safety knowledge or lack of certified food safety manager. Foods not protected from contamination. High risk food holding temperature. Inadequate HACCP plan record keeping. Unclean nonfood contact surfaces.
6001 California Market,San Francisco,CA,94121,38072_20180925,73.0,9,Moderate risk food holding temperature. Inadequate and inaccessible handwashing facilities. Low risk vermin infestation. Unapproved or unmaintained equipment or utensils. Improper storage use or identification of toxic substances. Unclean unmaintained or improperly constructed toilet facilities. Unclean or unsanitary food contact surfaces. Noncompliance with HAACP plan or variance.
6001 California Market,San Francisco,CA,94121,38072_20190430,86.0,68,Inadequate and inaccessible handwashing facilities. Improper storage use or identification of toxic substances. Other low risk violation. Inadequate food safety knowledge or lack of certified food safety manager. Improper storage of equipment utensils or linens.
7 Eleven #2366-35696A,San Francisco,CA,94104,70486_20170620,86.0,62,Inadequately cleaned or sanitized food contact surfaces. Inadequate and inaccessible handwashing facilities. Permit license or inspection report not posted. Inadequate dressing rooms or improper storage of personal items. Unapproved or unmaintained equipment or utensils.
7 Eleven #2366-35696A,San Francisco,CA,94104,70486_20180606,86.0,53,Inadequate and inaccessible handwashing facilities. Unapproved or unmaintained equipment or utensils. Permit license or inspection report not posted. Unclean or degraded floors walls or ceilings. Inadequately cleaned or sanitized food contact surfaces.
7 Eleven #2366-35696A,San Francisco,CA,94104,70486_20190220,96.0,63,Inadequate and inaccessible handwashing facilities.
7 Eleven #2366-35722A,San Francisco,CA,94118,76958_20171016,86.0,69,Unapproved or unmaintained equipment or utensils. Inadequate and inaccessible handwashing facilities. Other low risk violation. Moderate risk food holding temperature. Unclean or degraded floors walls or ceilings.
7 Eleven #2366-35722A,San Francisco,CA,94118,76958_20180919,84.0,64,Unclean nonfood contact surfaces. Inadequate and inaccessible handwashing facilities. Inadequately cleaned or sanitized food contact surfaces. Permit license or inspection report not posted. Inadequate food safety knowledge or lack of certified food safety manager.
7 Eleven #2366-35722A,San Francisco,CA,94118,76958_20190419,86.0,53,Inadequately cleaned or sanitized food contact surfaces. Inadequate food safety knowledge or lack of certified food safety manager. Unapproved or unmaintained equipment or utensils. Inadequate and inaccessible handwashing facilities.
7 Eleven #2366-36039A,San Francisco,CA,94105,71534_20170216,90.0,64,Improper storage use or identification of toxic substances. Improper storage of equipment utensils or linens. Wiping cloths not clean or properly stored or inadequate sanitizer. Inadequate and inaccessible handwashing facilities.
7 Eleven #2366-36039A,San Francisco,CA,94105,71534_20180123,92.0,81,Unclean or degraded floors walls or ceilings. Improper food storage. Wiping cloths not clean or properly stored or inadequate sanitizer. Food safety certificate or food handler card not available.
7 Eleven #2366-36039A,San Francisco,CA,94105,71534_20190503,88.0,60,Unclean nonfood contact surfaces. Unclean unmaintained or improperly constructed toilet facilities. Inadequately cleaned or sanitized food contact surfaces. Inadequate and inaccessible handwashing facilities.
7 Eleven #2366-36486H,San Francisco,CA,94111,93993_20180511,86.0,65,Unapproved or unmaintained equipment or utensils. Inadequately cleaned or sanitized food contact surfaces. Unclean or degraded floors walls or ceilings. Improper food storage. Inadequate and inaccessible handwashing facilities.
7 Eleven 2366-20643D,San Francisco,CA,94127,91830_20180227,84.0,68,Unapproved or unmaintained equipment or utensils. Permit license or inspection report not posted. Food safety certificate or food handler card not available. Unclean or degraded floors walls or ceilings. Moderate risk food holding temperature. Inadequate and inaccessible handwashing facilities.
7 Eleven 2366-20643D,San Francisco,CA,94127,91830_20190320,98.0,80,Improper or defective plumbing.
7 Eleven Store #2366-22627D,San Francisco,CA,94118,76957_20171026,86.0,59,Unapproved or unmaintained equipment or utensils. Inadequate and inaccessible handwashing facilities. Unclean or degraded floors walls or ceilings. Improper food storage. Inadequately cleaned or sanitized food contact surfaces.
7 Eleven Store #2366-22627D,San Francisco,CA,94118,76957_20180928,92.0,55,Inadequate and inaccessible handwashing facilities. Moderate risk vermin infestation.
7 Eleven Store #2366-22627D,San Francisco,CA,94118,76957_20190422,90.0,58,Inadequate and inaccessible handwashing facilities. Other low risk violation. Inadequately cleaned or sanitized food contact surfaces.
7 Eleven Store #2366-39475B,San Francisco,CA,94110,83648_20161215,88.0,61,Unclean or degraded floors walls or ceilings. Improper storage of equipment utensils or linens. Improper food storage. Inadequate food safety knowledge or lack of certified food safety manager. Unclean nonfood contact surfaces.
7 Eleven Store #2366-39475B,San Francisco,CA,94110,83648_20170717,88.0,61,Inadequate food safety knowledge or lack of certified food safety manager. Moderate risk vermin infestation. Inadequately cleaned or sanitized food contact surfaces.
7 Eleven Store #2366-39475B,San Francisco,CA,94110,83648_20171218,78.0,25,Improper storage of equipment utensils or linens. High risk vermin infestation. Unclean or unsanitary food contact surfaces. Inadequate food safety knowledge or lack of certified food safety manager. Unclean nonfood contact surfaces.
7 Eleven Store #2366-39475B,San Francisco,CA,94110,83648_20190314,84.0,54,Moderate risk vermin infestation. Inadequately cleaned or sanitized food contact surfaces. Food safety certificate or food handler card not available. Unapproved or unmaintained equipment or utensils. Inadequate and inaccessible handwashing facilities.
7-ELEVEN #20473,San Francisco,CA,94116,4665_20161220,94.0,56,Moderate risk vermin infestation. Unclean or degraded floors walls or ceilings.
7-ELEVEN #20473,San Francisco,CA,94116,4665_20171016,96.0,97,Improper storage use or identification of toxic substances. Improper food storage.
7-ELEVEN #20473,San Francisco,CA,94116,4665_20190605,94.0,66,Unclean or degraded floors walls or ceilings. Inadequate and inaccessible handwashing facilities.
7-ELEVEN STORE 2230-23342E,San Francisco,CA,94112,4859_20170308,90.0,70,Inadequately cleaned or sanitized food contact surfaces. Low risk vermin infestation. Improper food storage. Unclean or degraded floors walls or ceilings.
7-ELEVEN STORE 2230-23342E,San Francisco,CA,94112,4859_20180416,88.0,70,Low risk vermin infestation. Unclean or degraded floors walls or ceilings. Inadequately cleaned or sanitized food contact surfaces. Insufficient hot water or running water.
7-ELEVEN STORE 2230-23342E,San Francisco,CA,94112,4859_20190826,92.0,53,Improper storage use or identification of toxic substances. Unclean or degraded floors walls or ceilings. Inadequately cleaned or sanitized food contact surfaces.
7-Eleven #2366-34977,San Francisco,CA,94102,67063_20161026,90.0,60,Low risk vermin infestation. Unclean or degraded floors walls or ceilings. Unapproved or unmaintained equipment or utensils. Inadequate and inaccessible handwashing facilities.
7-Eleven #2366-34977,San Francisco,CA,94102,67063_20170705,72.0,47,Improper storage use or identification of toxic substances. Inadequately cleaned or sanitized food contact surfaces. Wiping cloths not clean or properly stored or inadequate sanitizer. Contaminated or adulterated food. High risk food holding temperature. Unclean or degraded floors walls or ceilings. Inadequate and inaccessible handwashing facilities.
7-Eleven #2366-34977,San Francisco,CA,94102,67063_20180502,92.0,56,Improper or defective plumbing. Unclean or degraded floors walls or ceilings. Food in poor condition.
7-Eleven #2366-34977,San Francisco,CA,94102,67063_20190517,88.0,55,Inadequately cleaned or sanitized food contact surfaces. Inadequate and inaccessible handwashing facilities. Moderate risk food holding temperature.
7-Eleven Store 2231-33429A,San Francisco,CA,94111,9631_20170710,85.0,19,High risk food holding temperature. Inadequately cleaned or sanitized food contact surfaces. Unclean unmaintained or improperly constructed toilet facilities. Improper or defective plumbing.
7-Eleven Store 2231-33429A,San Francisco,CA,94111,9631_20180607,88.0,59,Moderate risk food holding temperature. Permit license or inspection report not posted. Unclean or degraded floors walls or ceilings. Inadequately cleaned or sanitized food contact surfaces.
7-Eleven Store 2231-33429A,San Francisco,CA,94111,9631_20190718,92.0,75,Unclean unmaintained or improperly constructed toilet facilities. Improper or defective plumbing. Low risk vermin infestation. Inadequate warewashing facilities or equipment.
"7-Eleven, Store 2231-33006B",San Francisco,CA,94133,33145_20170914,90.0,76,Food safety certificate or food handler card not available. Unclean nonfood contact surfaces. Improper storage of equipment utensils or linens. Improper food storage. Unclean or degraded floors walls or ceilings.
"7-Eleven, Store 2231-33006B",San Francisco,CA,94133,33145_20180322,94.0,88,Unclean nonfood contact surfaces. Unclean or degraded floors walls or ceilings. Improper storage of equipment utensils or linens.
"7-Eleven, Store 2231-33006B",San Francisco,CA,94133,33145_20190722,94.0,73,Unapproved or unmaintained equipment or utensils. Improper or defective plumbing. Unclean nonfood contact surfaces.
"7-Eleven, Store 2231-33501",San Francisco,CA,94104,33056_20170912,85.0,35,High risk food holding temperature. Inadequately cleaned or sanitized food contact surfaces. Inadequate warewashing facilities or equipment. Unclean or degraded floors walls or ceilings.
"7-Eleven, Store 2231-33501",San Francisco,CA,94104,33056_20190201,92.0,61,Inadequate and inaccessible handwashing facilities. Inadequately cleaned or sanitized food contact surfaces.
"7-Eleven, Store 2366-21389F",San Francisco,CA,94134,36570_20161217,85.0,29,Unclean hands or improper use of gloves. Permit license or inspection report not posted. Inadequately cleaned or sanitized food contact surfaces. Unclean or degraded floors walls or ceilings.
"7-Eleven, Store 2366-21389F",San Francisco,CA,94134,36570_20171102,86.0,59,Inadequately cleaned or sanitized food contact surfaces. Inadequate and inaccessible handwashing facilities. Improper food storage. Improper storage of equipment utensils or linens. Unclean or degraded floors walls or ceilings.
"7-Eleven, Store 2366-21389F",San Francisco,CA,94134,36570_20190417,92.0,65,Inadequately cleaned or sanitized food contact surfaces. Inadequate and inaccessible handwashing facilities.
7-Mission Restaurant,San Francisco,CA,94103,18800_20171213,92.0,67,Improper thawing methods. Moderate risk food holding temperature.
7-Mission Restaurant,San Francisco,CA,94103,18800_20190522,83.0,37,Improper food storage. Moderate risk food holding temperature. Moderate risk vermin infestation. Unclean or unsanitary food contact surfaces.
707 Sutter,San Francisco,CA,94109,87285_20161128,82.0,62,Foods not protected from contamination. Improper thawing methods. Insufficient hot water or running water. Unclean nonfood contact surfaces. Wiping cloths not clean or properly stored or inadequate sanitizer. Improper storage of equipment utensils or linens.
707 Sutter,San Francisco,CA,94109,87285_20170713,94.0,72,Unapproved or unmaintained equipment or utensils. Unclean nonfood contact surfaces. Improper food storage.
707 Sutter,San Francisco,CA,94109,87285_20190318,90.0,62,Moderate risk food holding temperature. Inadequate and inaccessible handwashing facilities. Wiping cloths not clean or properly stored or inadequate sanitizer.
77 Chinese Cuisine,San Francisco,CA,94111,35659_20170915,89.0,40,Improper thawing methods. High risk food holding temperature.
77 Chinese Cuisine,San Francisco,CA,94111,35659_20181015,81.0,6,Inadequate food safety knowledge or lack of certified food safety manager. High risk food holding temperature. Inadequate and inaccessible handwashing facilities. Inadequately cleaned or sanitized food contact surfaces.
77 Chinese Cuisine,San Francisco,CA,94111,35659_20190610,80.0,35,Inadequate warewashing facilities or equipment. Unclean unmaintained or improperly constructed toilet facilities. Improper storage of equipment utensils or linens. Improper cooling methods. High risk food holding temperature.
8090 FRIENDSHIP RESTAURANT,San Francisco,CA,94121,100331_20190813,88.0,56,Inadequately cleaned or sanitized food contact surfaces. Moderate risk food holding temperature. Unapproved or unmaintained equipment or utensils. Improper storage of equipment utensils or linens.
901 Columbus Cafe,San Francisco,CA,94133,1568_20170208,92.0,52,Moderate risk vermin infestation. Unclean or degraded floors walls or ceilings. Wiping cloths not clean or properly stored or inadequate sanitizer.
901 Columbus Cafe,San Francisco,CA,94133,1568_20180405,90.0,60,Unapproved or unmaintained equipment or utensils. Improper food labeling or menu misrepresentation. Unclean or degraded floors walls or ceilings. Inadequately cleaned or sanitized food contact surfaces.
94635 Employee Training Room,San Francisco,CA,94107,94635_20180326,92.0,65,Moderate risk food holding temperature. Inadequate and inaccessible handwashing facilities.
94635 Employee Training Room,San Francisco,CA,94107,94635_20180911,96.0,65,Inadequately cleaned or sanitized food contact surfaces.
94640 Say Hey Sausage/Carvery,San Francisco,CA,94107,94640_20190719,94.0,66,Inadequate and inaccessible handwashing facilities. Unclean nonfood contact surfaces.
94641 Doggie Diner,San Francisco,CA,94107,94641_20180326,96.0,59,Moderate risk food holding temperature.
94641 Doggie Diner,San Francisco,CA,94107,94641_20180911,96.0,68,Moderate risk food holding temperature.
94641 Doggie Diner,San Francisco,CA,94107,94641_20190719,96.0,59,Inadequately cleaned or sanitized food contact surfaces.
94644 Derby Grill,San Francisco,CA,94301,94644_20190412,98.0,90,Wiping cloths not clean or properly stored or inadequate sanitizer.
94644 Derby Grill,San Francisco,CA,94301,94644_20190719,89.0,6,High risk food holding temperature. Inadequately cleaned or sanitized food contact surfaces.
94649 Doggie Diner/Garlic Fries/Tony's Pizza,San Francisco,CA,94107,94649_20190412,92.0,58,Wiping cloths not clean or properly stored or inadequate sanitizer. Inadequate and inaccessible handwashing facilities. Improper food storage.
94652 Gilroy Garlic Fries,San Francisco,CA,94107,94652_20190412,96.0,74,Unclean nonfood contact surfaces. Inadequate ventilation or lighting.
94660 Portable 2 Popcorn,San Francisco,CA,94107,94660_20180326,98.0,71,Wiping cloths not clean or properly stored or inadequate sanitizer.
94664 Doggie Diner,San Francisco,CA,94107,94664_20180326,98.0,73,Wiping cloths not clean or properly stored or inadequate sanitizer.
94665 Tony's Pizza,San Francisco,CA,94107,94665_20180326,96.0,62,Moderate risk food holding temperature.
94665 Tony's Pizza,San Francisco,CA,94107,94665_20180911,96.0,62,Inadequately cleaned or sanitized food contact surfaces.
94665 Tony's Pizza,San Francisco,CA,94107,94665_20190412,98.0,81,Wiping cloths not clean or properly stored or inadequate sanitizer.
94665 Tony's Pizza,San Francisco,CA,94107,94665_20190719,96.0,55,Inadequately cleaned or sanitized food contact surfaces.
94672 Doggie Diner,San Francisco,CA,94107,94672_20190412,98.0,99,Wiping cloths not clean or properly stored or inadequate sanitizer.
94672 Doggie Diner,San Francisco,CA,94107,94672_20190719,96.0,65,Inadequately cleaned or sanitized food contact surfaces.
94674 Doggie Diner,San Francisco,CA,94107,94674_20180326,96.0,92,Wiping cloths not clean or properly stored or inadequate sanitizer. Unapproved or unmaintained equipment or utensils.
94674 Doggie Diner,San Francisco,CA,94107,94674_20190412,98.0,71,Unclean or degraded floors walls or ceilings.
94679 Murphy/Derby Grill/Giuseppe/Mashis,San Francisco,CA,94107,94679_20180326,92.0,63,Inadequate and inaccessible handwashing facilities. Moderate risk food holding temperature.
94679 Murphy/Derby Grill/Giuseppe/Mashis,San Francisco,CA,94107,94679_20190412,88.0,67,Insufficient hot water or running water. Foods not protected from contamination. Moderate risk food holding temperature.
94686 Derby Grill/Giuseppe Bassuro/Bar San Pancho/Gilroy Garlic Fries,San Francisco,CA,94107,94686_20180326,96.0,69,Inadequately cleaned or sanitized food contact surfaces.
94686 Derby Grill/Giuseppe Bassuro/Bar San Pancho/Gilroy Garlic Fries,San Francisco,CA,94107,94686_20190412,92.0,65,Insufficient hot water or running water. Moderate risk food holding temperature.
94694 Derby Grill/Mission Street Taqueria,San Francisco,CA,94107,94694_20180326,96.0,55,Moderate risk food holding temperature.
94694 Derby Grill/Mission Street Taqueria,San Francisco,CA,94107,94694_20190412,92.0,53,Unclean nonfood contact surfaces. Foods not protected from contamination. Unapproved or unmaintained equipment or utensils.
94694 Derby Grill/Mission Street Taqueria,San Francisco,CA,94107,94694_20190719,92.0,52,Foods not protected from contamination. Moderate risk food holding temperature.
94696 Portable 9 Popcorn,San Francisco,CA,94107,94696_20180326,94.0,54,Inadequate and inaccessible handwashing facilities. Wiping cloths not clean or properly stored or inadequate sanitizer.
94760 Main Kitchen,San Francisco,CA,94107,94760_20180326,87.0,14,High risk food holding temperature. Wiping cloths not clean or properly stored or inadequate sanitizer. Foods not protected from contamination.
94760 Main Kitchen,San Francisco,CA,94107,94760_20180911,94.0,64,Moderate risk vermin infestation. Unclean or degraded floors walls or ceilings.
94760 Main Kitchen,San Francisco,CA,94107,94760_20190412,94.0,54,Moderate risk food holding temperature. Unapproved or unmaintained equipment or utensils.
94906 Gotham Kitchen,San Francisco,CA,94107,94906_20180326,93.0,16,High risk food holding temperature.
94912 Cognac Kitchen & Bar,San Francisco,CA,94107,94912_20190719,89.0,24,Insufficient hot water or running water. High risk food holding temperature.
94936 Murph's Pub,San Francisco,CA,94107,94936_20180326,96.0,57,Moderate risk food holding temperature.
94938 Anchor Grill Cart,San Francisco,CA,94107,94938_20180326,96.0,58,Foods not protected from contamination.
94938 Anchor Grill Cart,San Francisco,CA,94107,94938_20180911,96.0,66,Moderate risk food holding temperature.
94939 Gilroy Garlic,San Francisco,CA,94107,94939_20180326,94.0,69,Unapproved or unmaintained equipment or utensils. Inadequate and inaccessible handwashing facilities.
94939 Gilroy Garlic,San Francisco,CA,94107,94939_20190412,98.0,78,Improper or defective plumbing.
94943 Hearth Table,San Francisco,CA,94107,94943_20180911,96.0,69,Moderate risk food holding temperature.
94946 Derby Grill Stand,San Francisco,CA,94107,94946_20180326,89.0,23,High risk food holding temperature. Foods not protected from contamination.
94946 Derby Grill Stand,San Francisco,CA,94107,94946_20190412,94.0,51,Employee eating or smoking. Wiping cloths not clean or properly stored or inadequate sanitizer.
94946 Derby Grill Stand,San Francisco,CA,94107,94946_20190719,96.0,56,Inadequately cleaned or sanitized food contact surfaces.
94947 California Cookout Cart,San Francisco,CA,94107,94947_20180326,93.0,39,No hot water or running water.
94947 California Cookout Cart,San Francisco,CA,94107,94947_20190412,96.0,68,Moderate risk food holding temperature.
94947 California Cookout Cart,San Francisco,CA,94107,94947_20190719,96.0,68,Inadequately cleaned or sanitized food contact surfaces.
94970 Field Club Bistro,San Francisco,CA,94107,94970_20180326,96.0,64,Inadequate and inaccessible handwashing facilities.
94970 Field Club Bistro,San Francisco,CA,94107,94970_20180911,94.0,53,Moderate risk food holding temperature. Unclean or degraded floors walls or ceilings.
94970 Field Club Bistro,San Francisco,CA,94107,94970_20190412,96.0,65,Inadequately cleaned or sanitized food contact surfaces.
